      145.612  7.5E-10 -8.5E-10
      145.881  1.3E-10 -1.4E-10
      146.118  5.8E-10 -9.4E-10
      146.246 -1.4E-09  2.3E-09
      146.474  3.6E-10 -4.0E-10
      146.728 -1.3E-10  1.6E-10
      146.915  1.7E-09 -4.4E-09
      147.052  6.1E-10 -8.7E-10
      147.281  1.8E-10 -2.1E-10
      147.514 -2.8E-10  3.7E-10
      147.675 -6.4E-10  1.9E-09
      147.812  5.8E-10 -8.6E-10
      148.025 -4.3E-11  5.6E-11
      148.238 -2.1E-11  3.0E-11
      148.405  3.8E-09 -9.6E-09
      148.517 -6.0E-10  1.1E-09
      148.698 -4.1E-10  6.0E-10
      148.891 -4.9E-10  7.5E-10
      149.068 -5.3E-10  9.6E-10
      149.187  3.5E-10 -1.2E-09
      149.306 -9.8E-12  1.9E-11
      149.467 -1.9E-09  3.3E-09
      149.630 -2.4E-09  4.3E-09
      149.781 -6.7E-10  1.3E-09
      149.904 -3.5E-09  1.0E-08
      149.989 -3.6E-09  9.9E-09
      150.109 -1.9E-09  4.2E-09
      150.239 -6.3E-09  1.4E-08
      150.365 -9.3E-09  2.2E-08
      150.484 -8.3E-09  2.1E-08
      150.591 -2.7E-09  7.7E-09
      150.678 -6.2E-09  2.5E-08
      150.747 -2.1E-09  7.5E-09
      150.836 -2.9E-09  8.8E-09
      150.930 -7.5E-09  2.3E-08
      151.023 -1.2E-08  3.9E-08
      151.113 -1.5E-08  4.9E-08
      151.201 -1.5E-08  5.0E-08
      151.285 -1.2E-08  4.1E-08
      151.365 -6.2E-09  2.4E-08
      151.434 -1.8E-09  8.3E-09
      151.495 -1.5E-09  6.3E-09
      151.571 -1.8E-08  6.2E-08
      151.655 -2.7E-08  9.1E-08
      151.743 -3.0E-08  9.4E-08
      151.836 -2.5E-08  7.6E-08
      151.932 -1.6E-08  4.6E-08
      152.030 -6.1E-09  1.8E-08
      152.127 -1.7E-09  5.4E-09
      152.207  1.9E-09 -8.4E-09
      152.284 -1.3E-09  4.0E-09
      152.391 -8.5E-09  2.1E-08
      152.512 -1.4E-08  3.2E-08
      152.642 -1.1E-08  2.4E-08
      152.777 -4.0E-09  8.5E-09
      152.906 -2.0E-09  4.9E-09
      152.995  4.9E-09 -1.6E-08
      153.114 -6.3E-10  1.3E-09
      153.267 -2.6E-09  4.6E-09
      153.434 -2.6E-09  4.3E-09
      153.600 -1.5E-10  2.8E-10
      153.724  2.4E-09 -8.3E-09
      153.842 -8.5E-10  1.5E-09
      154.022 -5.4E-10  8.0E-10
      154.219 -4.5E-10  6.5E-10
      154.403 -7.7E-10  1.4E-09
      154.514  3.6E-09 -8.6E-09
      154.686 -1.7E-10  2.4E-10
      154.903 -4.1E-11  5.2E-11
      155.116  6.1E-10 -9.1E-10
      155.249  5.7E-10 -1.6E-09
      155.419 -3.0E-10  4.0E-10
      155.656  1.8E-10 -2.1E-10
      155.884  5.0E-10 -7.3E-10
      156.015  2.8E-09 -6.3E-09
      156.214 -1.6E-10  1.9E-10
      156.471  4.2E-10 -4.7E-10
      156.692 -2.4E-09  4.4E-09
      156.822  1.1E-10 -1.7E-10
      157.069  7.2E-11 -7.5E-11
      157.338  9.2E-10 -1.1E-09
      157.500 -1.1E-09  3.1E-09
      157.696 -2.8E-10  3.0E-10
      157.981  4.7E-10 -4.8E-10
      158.210 -1.7E-09  3.6E-09
      158.358 -1.3E-10  1.6E-10
      158.640  1.8E-10 -1.7E-10
      158.913  1.1E-10 -1.5E-10
      159.053  1.5E-09 -2.3E-09
      159.320 -3.4E-12  3.1E-12
      159.618  9.0E-10 -1.0E-09
      159.775  7.1E-10 -1.4E-09
      160.022 -1.3E-10  1.2E-10
      160.335  8.5E-10 -8.7E-10
      160.512 -7.6E-10  1.9E-09
      160.744 -1.8E-10  1.7E-10
      161.066  7.5E-10 -7.3E-10
      161.257 -4.5E-10  1.2E-09
      161.483 -1.9E-10  1.7E-10
      161.813  7.1E-10 -6.6E-10
      162.009 -3.3E-10  8.7E-10
      162.238 -1.8E-10  1.5E-10
      162.574  7.3E-10 -6.8E-10
      162.765 -5.6E-10  1.4E-09
      163.009 -1.5E-10  1.3E-10
      163.348  7.9E-10 -7.6E-10
      163.528 -3.1E-10  6.6E-10
      163.794 -1.1E-10  9.4E-11
      164.133  8.0E-10 -8.2E-10
      164.298  6.9E-10 -1.1E-09
      164.593 -5.1E-11  4.0E-11
      164.923  4.2E-10 -5.0E-10
      165.080  1.0E-09 -1.3E-09
      165.406  5.5E-11 -4.3E-11
      165.713 -5.8E-10  8.9E-10
      165.879  4.7E-10 -4.7E-10
      166.230  2.3E-10 -1.8E-10
      166.496  1.8E-10 -4.3E-10
      166.696  2.3E-11 -2.0E-11
      167.061  5.2E-10 -4.4E-10
      167.274 -1.3E-10  3.2E-10
      167.531 -9.5E-11  7.4E-11
